id,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon
1,Leather Headgear,1,head,both,0,0,0,2,38,68,2,0,0,0,0
2,Leather Mail,1,chest,both,0,0,0,2,38,68,2,0,0,0,0
3,Leather Gloves,1,arms,both,0,0,0,2,38,68,2,0,0,0,0
4,Leather Belt,1,waist,both,0,0,0,2,38,68,2,0,0,0,0
5,Leather Trousers,1,legs,both,0,0,0,2,38,68,2,0,0,0,0
6,Chainmail Headgear,1,head,both,0,0,0,2,38,68,0,2,0,0,0
7,Chainmail Vest,1,chest,both,0,0,0,2,38,68,0,2,0,0,0
8,Chainmail Gloves,1,arms,both,0,0,0,2,38,68,0,2,0,0,0
9,Chainmail Belt,1,waist,both,0,0,0,2,38,68,0,2,0,0,0
10,Chainmail Trousers,1,legs,both,0,0,0,2,38,68,0,2,0,0,0
11,Hunter's Headgear,1,head,both,0,0,0,6,42,72,2,2,0,0,0
12,Hunter's Mail,1,chest,both,0,0,0,6,42,72,2,2,0,0,0
13,Hunter's Vambraces,1,arms,both,0,0,0,6,42,72,2,2,0,0,0
14,Hunter's Coil,1,waist,both,0,0,0,6,42,72,2,2,0,0,0
15,Hunter's Greaves,1,legs,both,0,0,0,6,42,72,2,2,0,0,0
16,Bone Helm,1,head,both,0,0,0,6,42,72,2,0,2,0,2
17,Bone Mail,1,chest,both,0,0,0,6,42,72,2,0,2,0,2
18,Bone Vambraces,1,arms,both,0,0,0,6,42,72,2,0,2,0,2
19,Bone Coil,1,waist,both,0,0,0,6,42,72,2,0,2,0,2
20,Bone Greaves,1,legs,both,0,0,0,6,42,72,2,0,2,0,2
21,Vespoid Helm,1,head,both,0,0,0,8,44,74,-2,1,1,1,2
22,Vespoid Mail,1,chest,both,0,0,0,8,44,74,-2,1,1,1,2
23,Vespoid Vambraces,1,arms,both,0,0,0,8,44,74,-2,1,1,1,2
24,Vespoid Coil,1,waist,both,0,0,0,8,44,74,-2,1,1,1,2
25,Vespoid Greaves,1,legs,both,0,0,0,8,44,74,-2,1,1,1,2
26,Kestodon Guards,1,arms,both,0,0,0,12,48,78,4,0,0,0,0
27,Gajau Boots,1,legs,both,0,0,0,12,48,78,0,5,0,0,0
28,Jagras Helm,1,head,both,0,0,0,8,44,74,-2,2,-1,-1,1
29,Jagras Mail,1,chest,both,0,0,0,8,44,74,-2,2,-1,-1,1
30,Jagras Vambraces,1,arms,both,0,0,0,8,44,74,-2,2,-1,-1,1
31,Jagras Coil,1,waist,both,0,0,0,8,44,74,-2,2,-1,-1,1
32,Jagras Greaves,1,legs,both,0,0,0,8,44,74,-2,2,-1,-1,1
33,Kulu Headpiece,1,head,both,0,0,0,10,46,76,0,-3,0,1,0
34,Kulu Mail,1,chest,both,0,0,0,10,46,76,0,-3,0,1,0
35,Kulu Vambraces,1,arms,both,0,0,0,10,46,76,0,-3,0,1,0
36,Kulu Coil,1,waist,both,0,0,0,10,46,76,0,-3,0,1,0
37,Kulu Greaves,1,legs,both,0,0,0,10,46,76,0,-3,0,1,0
38,Alloy Helm,2,head,both,0,0,0,8,40,66,-2,1,-2,-2,1
39,Alloy Mail,2,chest,both,0,0,0,8,40,66,-2,1,-2,-2,1
40,Alloy Vambraces,2,arms,both,0,0,0,8,40,66,-2,1,-2,-2,1
41,Alloy Coil,2,waist,both,0,0,0,8,40,66,-2,1,-2,-2,1
42,Alloy Greaves,2,legs,both,0,0,0,8,40,66,-2,1,-2,-2,1
43,Pukei Hood,2,head,both,0,0,0,12,44,70,0,3,-3,0,1
44,Pukei Mail,2,chest,both,0,0,0,12,44,70,0,3,-3,0,1
45,Pukei Vambraces,2,arms,both,0,0,0,12,44,70,0,3,-3,0,1
46,Pukei Coil,2,waist,both,0,0,0,12,44,70,0,3,-3,0,1
47,Pukei Greaves,2,legs,both,0,0,0,12,44,70,0,3,-3,0,1
48,Barroth Helm,2,head,both,0,0,0,14,46,72,-3,-1,3,-1,0
49,Barroth Mail,2,chest,both,0,0,0,14,46,72,-3,-1,3,-1,0
50,Barroth Vambraces,2,arms,both,0,0,0,14,46,72,-3,-1,3,-1,0
51,Barroth Coil,2,waist,both,0,0,0,14,46,72,-3,-1,3,-1,0
52,Barroth Greaves,2,legs,both,0,0,0,14,46,72,-3,-1,3,-1,0
53,Jyura Helm,2,head,both,0,0,0,14,46,72,-1,2,-3,0,0
54,Jyura Mail,2,chest,both,0,0,0,14,46,72,-1,2,-3,0,0
55,Jyura Vambraces,2,arms,both,0,0,0,14,46,72,-1,2,-3,0,0
56,Jyura Coil,2,waist,both,0,0,0,14,46,72,-1,2,-3,0,0
57,Jyura Greaves,2,legs,both,0,0,0,14,46,72,-1,2,-3,0,0
58,Kadachi Helm,2,head,both,0,0,0,16,48,74,0,-3,3,0,0
59,Kadachi Mail,2,chest,both,0,0,0,16,48,74,0,-3,3,0,0
60,Kadachi Vambraces,2,arms,both,0,0,0,16,48,74,0,-3,3,0,0
61,Kadachi Coil,2,waist,both,0,0,0,16,48,74,0,-3,3,0,0
62,Kadachi Greaves,2,legs,both,0,0,0,16,48,74,0,-3,3,0,0
63,High Metal Helm,3,head,both,0,0,0,18,46,70,0,-1,-2,3,0
64,High Metal Mail,3,chest,both,0,0,0,18,46,70,0,-1,-2,3,0
65,High Metal Braces,3,arms,both,0,0,0,18,46,70,0,-1,-2,3,0
66,High Metal Coil,3,waist,both,0,0,0,18,46,70,0,-1,-2,3,0
67,High Metal Greaves,3,legs,both,0,0,0,18,46,70,0,-1,-2,3,0
68,King Beetle Vertex,3,head,male,0,0,0,22,50,74,-1,-1,2,0,2
69,King Beetle Thorax,3,chest,male,0,0,0,22,50,74,-1,-1,2,0,2
70,King Beetle Brachia,3,arms,male,0,0,0,22,50,74,-1,-1,2,0,2
71,King Beetle Elytra,3,waist,male,0,0,0,22,50,74,-1,-1,2,0,2
72,King Beetle Crura,3,legs,male,0,0,0,22,50,74,-1,-1,2,0,2
78,Shamos Goggles,3,head,both,0,0,0,22,50,74,2,2,0,-3,0
79,Hornetaur Helm,3,head,both,0,0,0,18,46,70,-1,-1,0,0,2
80,Hornetaur Mail,3,chest,both,0,0,0,18,46,70,-1,-1,0,0,2
81,Hornetaur Vambraces,3,arms,both,0,0,0,18,46,70,-1,-1,0,0,2
82,Hornetaur Coil,3,waist,both,0,0,0,18,46,70,-1,-1,0,0,2
83,Hornetaur Greaves,3,legs,both,0,0,0,18,46,70,-1,-1,0,0,2
84,Anja Helm,3,head,both,0,0,0,20,48,72,3,-3,-1,-1,0
85,Anja Mail,3,chest,both,0,0,0,20,48,72,3,-3,-1,-1,0
86,Anja Vambraces,3,arms,both,0,0,0,20,48,72,3,-3,-1,-1,0
87,Anja Coil,3,waist,both,0,0,0,20,48,72,3,-3,-1,-1,0
88,Anja Greaves,3,legs,both,0,0,0,20,48,72,3,-3,-1,-1,0
89,Rathian Helm,3,head,both,0,0,0,22,50,74,2,0,-2,0,-3
90,Rathian Mail,3,chest,both,0,0,0,22,50,74,2,0,-2,0,-3
91,Rathian Vambraces,3,arms,both,0,0,0,22,50,74,2,0,-2,0,-3
92,Rathian Coil,3,waist,both,0,0,0,22,50,74,2,0,-2,0,-3
93,Rathian Greaves,3,legs,both,0,0,0,22,50,74,2,0,-2,0,-3
94,Tzitzi Headgear,3,head,both,0,0,0,18,46,70,0,0,-3,-2,0
95,Tzitzi Mail,3,chest,both,0,0,0,18,46,70,0,0,-3,-2,0
96,Tzitzi Vambraces,3,arms,both,0,0,0,18,46,70,0,0,-3,-2,0
97,Tzitzi Coil,3,waist,both,0,0,0,18,46,70,0,0,-3,-2,0
98,Tzitzi Greaves,3,legs,both,0,0,0,18,46,70,0,0,-3,-2,0
99,Lumu Hat,3,head,both,0,0,0,20,48,72,-3,2,0,1,0
100,Lumu Mail,3,chest,both,0,0,0,20,48,72,-3,2,0,1,0
101,Lumu Vambraces,3,arms,both,0,0,0,20,48,72,-3,2,0,1,0
102,Lumu Coil,3,waist,both,0,0,0,20,48,72,-3,2,0,1,0
103,Lumu Greaves,3,legs,both,0,0,0,20,48,72,-3,2,0,1,0
104,Girros Mask,3,head,both,0,0,0,20,48,72,0,-3,2,0,1
105,Girros Mail,3,chest,both,0,0,0,20,48,72,0,-3,2,0,1
106,Girros Vambraces,3,arms,both,0,0,0,20,48,72,0,-3,2,0,1
107,Girros Coil,3,waist,both,0,0,0,20,48,72,0,-3,2,0,1
108,Girros Greaves,3,legs,both,0,0,0,20,48,72,0,-3,2,0,1
109,Baan Helm,3,head,both,0,0,0,24,52,76,0,2,0,-1,-2
110,Baan Mail,3,chest,both,0,0,0,24,52,76,0,2,0,-1,-2
111,Baan Vambraces,3,arms,both,0,0,0,24,52,76,0,2,0,-1,-2
112,Baan Coil,3,waist,both,0,0,0,24,52,76,0,2,0,-1,-2
113,Baan Greaves,3,legs,both,0,0,0,24,52,76,0,2,0,-1,-2
114,Ingot Helm,4,head,both,0,0,0,28,52,72,-2,0,3,-1,0
115,Ingot Mail,4,chest,both,0,0,0,28,52,72,-2,0,3,-1,0
116,Ingot Vambraces,4,arms,both,0,0,0,28,52,72,-2,0,3,-1,0
117,Ingot Coil,4,waist,both,0,0,0,28,52,72,-2,0,3,-1,0
118,Ingot Greaves,4,legs,both,0,0,0,28,52,72,-2,0,3,-1,0
119,Death Stench Brain,4,head,both,0,0,0,32,56,76,3,2,-2,3,-4
120,Death Stench Muscle,4,chest,both,0,0,0,32,56,76,3,2,-2,3,-4
121,Death Stench Grip,4,arms,both,0,0,0,32,56,76,3,2,-2,3,-4
122,Death Stench Bowels,4,waist,both,0,0,0,32,56,76,3,2,-2,3,-4
123,Death Stench Heel,4,legs,both,0,0,0,32,56,76,3,2,-2,3,-4
124,Brigade Lobos,4,head,both,0,0,0,28,52,72,1,0,2,0,2
125,Brigade Suit,4,chest,both,0,0,0,28,52,72,1,0,2,0,2
126,Brigade Vambraces,4,arms,both,0,0,0,28,52,72,1,0,2,0,2
127,Brigade Coil,4,waist,both,0,0,0,28,52,72,1,0,2,0,2
128,Brigade Boots,4,legs,both,0,0,0,28,52,72,1,0,2,0,2
129,Legiana Helm,4,head,both,0,0,0,30,54,74,-1,2,-3,3,0
130,Legiana Mail,4,chest,both,0,0,0,30,54,74,-1,2,-3,3,0
131,Legiana Vambraces,4,arms,both,0,0,0,30,54,74,-1,2,-3,3,0
132,Legiana Coil,4,waist,both,0,0,0,30,54,74,-1,2,-3,3,0
133,Legiana Greaves,4,legs,both,0,0,0,30,54,74,-1,2,-3,3,0
134,Odogaron Helm,4,head,both,0,0,0,30,54,74,2,2,-2,-3,0
135,Odogaron Mail,4,chest,both,0,0,0,30,54,74,2,2,-2,-3,0
136,Odogaron Vambraces,4,arms,both,0,0,0,30,54,74,2,2,-2,-3,0
137,Odogaron Coil,4,waist,both,0,0,0,30,54,74,2,2,-2,-3,0
138,Odogaron Greaves,4,legs,both,0,0,0,30,54,74,2,2,-2,-3,0
139,Rathalos Helm,4,head,both,0,0,0,30,54,74,3,1,-2,1,-3
140,Rathalos Mail,4,chest,both,0,0,0,30,54,74,3,1,-2,1,-3
141,Rathalos Vambraces,4,arms,both,0,0,0,30,54,74,3,1,-2,1,-3
142,Rathalos Coil,4,waist,both,0,0,0,30,54,74,3,1,-2,1,-3
143,Rathalos Greaves,4,legs,both,0,0,0,30,54,74,3,1,-2,1,-3
144,Diablos Helm,4,head,both,0,0,0,32,56,76,3,-2,0,-3,2
145,Diablos Mail,4,chest,both,0,0,0,32,56,76,3,-2,0,-3,2
146,Diablos Vambraces,4,arms,both,0,0,0,32,56,76,3,-2,0,-3,2
147,Diablos Coil,4,waist,both,0,0,0,32,56,76,3,-2,0,-3,2
148,Diablos Greaves,4,legs,both,0,0,0,32,56,76,3,-2,0,-3,2
149,Kirin Horn,4,head,both,0,0,0,34,58,78,-3,-2,4,-2,2
150,Kirin Jacket,4,chest,both,0,0,0,34,58,78,-3,-2,4,-2,2
151,Kirin Longarms,4,arms,both,0,0,0,34,58,78,-3,-2,4,-2,2
152,Kirin Hoop,4,waist,both,0,0,0,34,58,78,-3,-2,4,-2,2
153,Kirin Leg Guards,4,legs,both,0,0,0,34,58,78,-3,-2,4,-2,2
154,Blossom Headgear,3,head,both,0,0,0,18,46,70,1,1,4,1,1
155,Blossom Vest,3,chest,both,0,0,0,18,46,70,1,1,4,1,1
156,Blossom Cuffs,3,arms,both,0,0,0,18,46,70,1,1,4,1,1
157,Blossom Coat,3,waist,both,0,0,0,18,46,70,1,1,4,1,1
158,Blossom Boots,3,legs,both,0,0,0,18,46,70,1,1,4,1,1
743,Diver's Mask,3,head,both,0,0,0,22,50,74,1,4,1,1,1
744,Diver's Suit,3,chest,both,0,0,0,22,50,74,1,4,1,1,1
745,Diver's Braces,3,arms,both,0,0,0,22,50,74,1,4,1,1,1
746,Diver's Belt,3,waist,both,0,0,0,22,50,74,1,4,1,1,1
747,Diver's Boots,3,legs,both,0,0,0,22,50,74,1,4,1,1,1
693,Harvest Flor,3,head,both,0,0,0,26,54,78,4,1,1,1,1
694,Harvest Tronco,3,chest,both,0,0,0,26,54,78,4,1,1,1,1
695,Harvest Trama,3,arms,both,0,0,0,26,54,78,4,1,1,1,1
696,Harvest Hoja,3,waist,both,0,0,0,26,54,78,4,1,1,1,1
697,Harvest Raiz,3,legs,both,0,0,0,26,54,78,4,1,1,1,1
698,Orion Cap,4,head,both,0,0,0,30,54,74,1,1,1,4,1
699,Orion Vest,4,chest,both,0,0,0,30,54,74,1,1,1,4,1
700,Orion Vambraces,4,arms,both,0,0,0,30,54,74,1,1,1,4,1
701,Orion Coat,4,waist,both,0,0,0,30,54,74,1,1,1,4,1
702,Orion Boots,4,legs,both,0,0,0,30,54,74,1,1,1,4,1
728,Gala Suit Top Hat,4,head,both,0,0,0,34,58,78,1,1,1,1,4
729,Gala Suit Jacket,4,chest,both,0,0,0,34,58,78,1,1,1,1,4
730,Gala Suit Cuffs,4,arms,both,0,0,0,34,58,78,1,1,1,1,4
731,Gala Suit Tail,4,waist,both,0,0,0,34,58,78,1,1,1,1,4
727,Gala Suit Slacks,4,legs,both,0,0,0,34,58,78,1,1,1,1,4
73,Butterfly Vertex,3,head,male,0,0,0,22,50,74,-1,-1,2,0,2
74,Butterfly Thorax,3,chest,male,0,0,0,22,50,74,-1,-1,2,0,2
75,Butterfly Brachia,3,arms,male,0,0,0,22,50,74,-1,-1,2,0,2
76,Butterfly Elytra,3,waist,male,0,0,0,22,50,74,-1,-1,2,0,2
77,Butterfly Crura,3,legs,male,0,0,0,22,50,74,-1,-1,2,0,2
159,Leather Headgear α,5,head,both,0,0,0,32,54,70,2,0,0,0,0
160,Leather Mail α,5,chest,both,0,0,0,32,54,70,2,0,0,0,0
161,Leather Gloves α,5,arms,both,0,0,0,32,54,70,2,0,0,0,0
162,Leather Belt α,5,waist,both,0,0,0,32,54,70,2,0,0,0,0
163,Leather Trousers α,5,legs,both,0,0,0,32,54,70,2,0,0,0,0
164,Leather Headgear β,5,head,both,1,0,0,32,54,70,2,0,0,0,0
165,Leather Mail β,5,chest,both,1,0,0,32,54,70,2,0,0,0,0
166,Leather Gloves β,5,arms,both,1,0,0,32,54,70,2,0,0,0,0
167,Leather Belt β,5,waist,both,1,0,0,32,54,70,2,0,0,0,0
168,Leather Trousers β,5,legs,both,1,0,0,32,54,70,2,0,0,0,0
169,Chainmail Headgear α,5,head,both,0,0,0,32,54,70,0,2,0,0,0
170,Chainmail Armor α,5,chest,both,0,0,0,32,54,70,0,2,0,0,0
171,Chainmail Gloves α,5,arms,both,0,0,0,32,54,70,0,2,0,0,0
172,Chainmail Belt α,5,waist,both,0,0,0,32,54,70,0,2,0,0,0
173,Chainmail Trousers α,5,legs,both,0,0,0,32,54,70,0,2,0,0,0
174,Chainmail Headgear β,5,head,both,1,0,0,32,54,70,0,2,0,0,0
175,Chainmail Armor β,5,chest,both,1,0,0,32,54,70,0,2,0,0,0
176,Chainmail Gloves β,5,arms,both,1,0,0,32,54,70,0,2,0,0,0
177,Chainmail Belt β,5,waist,both,1,0,0,32,54,70,0,2,0,0,0
178,Chainmail Trousers β,5,legs,both,1,0,0,32,54,70,0,2,0,0,0
179,Hunter's Headgear α,5,head,both,0,0,0,36,58,74,2,2,0,0,0
180,Hunter's Mail α,5,chest,both,0,0,0,36,58,74,2,2,0,0,0
181,Hunter's Vambraces α,5,arms,both,0,0,0,36,58,74,2,2,0,0,0
182,Hunter's Coil α,5,waist,both,0,0,0,36,58,74,2,2,0,0,0
183,Hunter's Greaves α,5,legs,both,0,0,0,36,58,74,2,2,0,0,0
184,Hunter's Headgear β,5,head,both,1,0,0,36,58,74,2,2,0,0,0
185,Hunter's Mail β,5,chest,both,1,0,0,36,58,74,2,2,0,0,0
186,Hunter's Vambraces β,5,arms,both,1,0,0,36,58,74,2,2,0,0,0
187,Hunter's Coil β,5,waist,both,1,0,0,36,58,74,2,2,0,0,0
188,Hunter's Greaves β,5,legs,both,1,0,0,36,58,74,2,2,0,0,0
189,Bone Helm α,5,head,both,0,0,0,36,58,74,2,0,2,0,2
190,Bone Mail α,5,chest,both,0,0,0,36,58,74,2,0,2,0,2
191,Bone Vambraces α,5,arms,both,0,0,0,36,58,74,2,0,2,0,2
192,Bone Coil α,5,waist,both,0,0,0,36,58,74,2,0,2,0,2
193,Bone Greaves α,5,legs,both,0,0,0,36,58,74,2,0,2,0,2
194,Bone Helm β,5,head,both,1,0,0,36,58,74,2,0,2,0,2
195,Bone Mail β,5,chest,both,1,0,0,36,58,74,2,0,2,0,2
196,Bone Vambraces β,5,arms,both,1,0,0,36,58,74,2,0,2,0,2
197,Bone Coil β,5,waist,both,1,0,0,36,58,74,2,0,2,0,2
198,Bone Greaves β,5,legs,both,1,0,0,36,58,74,2,0,2,0,2
199,Alloy Helm α,5,head,both,0,0,0,36,58,74,-2,0,-2,-2,0
200,Alloy Mail α,5,chest,both,0,0,0,36,58,74,-2,0,-2,-2,0
201,Alloy Vambraces α,5,arms,both,0,0,0,36,58,74,-2,0,-2,-2,0
202,Alloy Coil α,5,waist,both,0,0,0,36,58,74,-2,0,-2,-2,0
203,Alloy Greaves α,5,legs,both,0,0,0,36,58,74,-2,0,-2,-2,0
204,Alloy Helm β,5,head,both,1,0,0,36,58,74,-2,0,-2,-2,0
205,Alloy Mail β,5,chest,both,1,0,0,36,58,74,-2,0,-2,-2,0
206,Alloy Vambraces β,5,arms,both,1,0,0,36,58,74,-2,0,-2,-2,0
207,Alloy Coil β,5,waist,both,1,0,0,36,58,74,-2,0,-2,-2,0
208,Alloy Greaves β,5,legs,both,1,0,0,36,58,74,-2,0,-2,-2,0
209,King Beetle Vertex α,5,head,male,0,0,0,42,64,80,-1,-1,2,0,2
210,King Beetle Thorax α,5,chest,male,0,0,0,42,64,80,-1,-1,2,0,2
211,King Beetle Brachia α,5,arms,male,1,0,0,42,64,80,-1,-1,2,0,2
212,King Beetle Elytra α,5,waist,male,1,0,0,42,64,80,-1,-1,2,0,2
213,King Beetle Crura α,5,legs,male,1,0,0,42,64,80,-1,-1,2,0,2
214,King Beetle Vertex β,5,head,male,1,0,0,42,64,80,-1,-1,2,0,2
215,King Beetle Thorax β,5,chest,male,1,0,0,42,64,80,-1,-1,2,0,2
216,King Beetle Brachia β,5,arms,male,2,1,0,42,64,80,-1,-1,2,0,2
217,King Beetle Elytra β,5,waist,male,2,1,0,42,64,80,-1,-1,2,0,2
218,King Beetle Crura β,5,legs,male,2,1,0,42,64,80,-1,-1,2,0,2
229,Vespoid Helm α,5,head,both,0,0,0,38,60,76,-2,1,1,1,2
230,Vespoid Mail α,5,chest,both,0,0,0,38,60,76,-2,1,1,1,2
231,Vespoid Vambraces α,5,arms,both,0,0,0,38,60,76,-2,1,1,1,2
232,Vespoid Coil α,5,waist,both,0,0,0,38,60,76,-2,1,1,1,2
233,Vespoid Greaves α,5,legs,both,0,0,0,38,60,76,-2,1,1,1,2
234,Vespoid Helm β,5,head,both,1,0,0,38,60,76,-2,1,1,1,2
235,Vespoid Mail β,5,chest,both,1,0,0,38,60,76,-2,1,1,1,2
236,Vespoid Vambraces β,5,arms,both,1,0,0,38,60,76,-2,1,1,1,2
237,Vespoid Coil β,5,waist,both,1,0,0,38,60,76,-2,1,1,1,2
238,Vespoid Greaves β,5,legs,both,1,0,0,38,60,76,-2,1,1,1,2
239,Hornetaur Helm α,5,head,both,0,0,0,38,60,76,-1,-1,0,0,2
240,Hornetaur Mail α,5,chest,both,0,0,0,38,60,76,-1,-1,0,0,2
241,Hornetaur Vambraces α,5,arms,both,0,0,0,38,60,76,-1,-1,0,0,2
242,Hornetaur Coil α,5,waist,both,0,0,0,38,60,76,-1,-1,0,0,2
243,Hornetaur Greaves α,5,legs,both,0,0,0,38,60,76,-1,-1,0,0,2
244,Hornetaur Helm β,5,head,both,1,0,0,38,60,76,-1,-1,0,0,2
245,Hornetaur Mail β,5,chest,both,1,0,0,38,60,76,-1,-1,0,0,2
246,Hornetaur Vambraces β,5,arms,both,1,0,0,38,60,76,-1,-1,0,0,2
247,Hornetaur Coil β,5,waist,both,1,0,0,38,60,76,-1,-1,0,0,2
248,Hornetaur Greaves β,5,legs,both,1,0,0,38,60,76,-1,-1,0,0,2
249,Mosswine Mask α,5,head,both,0,0,0,40,62,78,2,2,2,2,2
250,Kestodon Guards α,5,arms,both,0,0,0,40,62,78,4,0,0,0,0
251,Kestodon Guards β,5,arms,both,1,0,0,40,62,78,4,0,0,0,0
252,Gajau Boots α,5,legs,both,0,0,0,40,62,78,0,5,0,0,0
253,Gajau Boots β,5,legs,both,1,0,0,40,62,78,0,5,0,0,0
254,Shamos Goggles α,5,head,both,0,0,0,40,62,78,2,2,0,-3,0
255,Shamos Goggles β,5,head,both,1,0,0,40,62,78,2,2,0,-3,0
256,Jagras Helm α,5,head,both,0,0,0,40,62,78,-2,2,-1,-1,1
257,Jagras Mail α,5,chest,both,0,0,0,40,62,78,-2,2,-1,-1,1
258,Jagras Vambraces α,5,arms,both,0,0,0,40,62,78,-2,2,-1,-1,1
259,Jagras Coil α,5,waist,both,0,0,0,40,62,78,-2,2,-1,-1,1
260,Jagras Greaves α,5,legs,both,0,0,0,40,62,78,-2,2,-1,-1,1
261,Jagras Helm β,5,head,both,1,0,0,40,62,78,-2,2,-1,-1,1
262,Jagras Mail β,5,chest,both,1,0,0,40,62,78,-2,2,-1,-1,1
263,Jagras Vambraces β,5,arms,both,1,0,0,40,62,78,-2,2,-1,-1,1
